Image_Path,Height,Width,Channels,Class
data/vehicles/3975.png,64,64,3,1
data/vehicles/far (488).png,64,64,3,1
data/vehicles/left (730).png,64,64,3,1
data/vehicles/far (172).png,64,64,3,1
data/vehicles/348.png,64,64,3,1
data/vehicles/1804.png,64,64,3,1
data/vehicles/middle (141).png,64,64,3,1
data/vehicles/left (360).png,64,64,3,1
data/vehicles/far (522).png,64,64,3,1
data/vehicles/4968.png,64,64,3,1
data/vehicles/right (652).png,64,64,3,1
data/vehicles/middle (90).png,64,64,3,1
data/vehicles/1810.png,64,64,3,1
data/vehicles/right (202).png,64,64,3,1
data/vehicles/3961.png,64,64,3,1
data/vehicles/1186.png,64,64,3,1
data/vehicles/412.png,64,64,3,1
data/vehicles/3949.png,64,64,3,1
data/vehicles/3791.png,64,64,3,1
data/vehicles/4798.png,64,64,3,1
data/vehicles/4940.png,64,64,3,1
data/vehicles/5486.png,64,64,3,1
data/vehicles/374.png,64,64,3,1
data/vehicles/1838.png,64,64,3,1
data/vehicles/right (347).png,64,64,3,1
data/vehicles/left (675).png,64,64,3,1
data/vehicles/360.png,64,64,3,1
data/vehicles/4954.png,64,64,3,1
data/vehicles/5492.png,64,64,3,1
data/vehicles/left (225).png,64,64,3,1
data/vehicles/3785.png,64,64,3,1
data/vehicles/far (467).png,64,64,3,1
data/vehicles/406.png,64,64,3,1
data/vehicles/1192.png,64,64,3,1
data/vehicles/1179.png,64,64,3,1
data/vehicles/right (594).png,64,64,3,1
data/vehicles/4001.png,64,64,3,1
data/vehicles/2470.png,64,64,3,1
data/vehicles/2316.png,64,64,3,1
data/vehicles/right (29).png,64,64,3,1
data/vehicles/5479.png,64,64,3,1
data/vehicles/4767.png,64,64,3,1
data/vehicles/3008.png,64,64,3,1
data/vehicles/2302.png,64,64,3,1
data/vehicles/4773.png,64,64,3,1
data/vehicles/4015.png,64,64,3,1
data/vehicles/middle (287).png,64,64,3,1
data/vehicles/2464.png,64,64,3,1
data/vehicles/3752.png,64,64,3,1
data/vehicles/middle (268).png,64,64,3,1
data/vehicles/5323.png,64,64,3,1
data/vehicles/1145.png,64,64,3,1
data/vehicles/1623.png,64,64,3,1
data/vehicles/4983.png,64,64,3,1
data/vehicles/5445.png,64,64,3,1
data/vehicles/left (419).png,64,64,3,1
data/vehicles/3034.png,64,64,3,1
data/vehicles/4997.png,64,64,3,1
data/vehicles/5451.png,64,64,3,1
data/vehicles/3020.png,64,64,3,1
data/vehicles/1637.png,64,64,3,1
data/vehicles/1151.png,64,64,3,1
data/vehicles/3746.png,64,64,3,1
data/vehicles/4029.png,64,64,3,1
